ID,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
51261,48766,31730700,3600,4500,3000,8/2/1983,32.11091466,-101.94462,Deep,"DICKENSON, OLTON -A- 1 1"
53249,58283,50132893,10100,11500,50000,11/13/1985,32.99543001,-102.8448277,Deep,DENVER UNIT 2D
58888,53887,50132538,12455,13000,0,6/28/1984,33.01029747,-102.7829119,Deep,"WILDER B"""" 40"
60787,60840,26300188,3880,3920,6000,7/9/1986,33.24290343,-100.8670212,Deep,SALT CREEK FIELD UNIT E33
61464,89752,31730142,4010,5950,4500,3/29/2000,32.220008,-101.996868,Deep,DICKENSON SWD 1
63202,103600,32902024,6420,13391,20000,8/18/2011,31.7408469,-102.2079781,Deep,"SANDERS, JUNE T. 3"
65483,113055,22738574,9607,10700,20000,10/20/2015,32.3950326,-101.4835524,Deep,TATE -D- 3
67296,67865,31710260,4800,6375,15000,1/4/1989,32.22212109,-102.1259549,Deep,SCHARBAUER -H- 1D
67489,68911,30130741,4140,4164,20000,9/15/1988,31.73784236,-103.6535824,Deep,MORLEY -A- 2R
63356,58958,31700386,3600,4800,15000,10/31/1985,32.30013107,-101.8557887,Deep,"MCCLAIN,G.B. 1D"
65476,104604,31733153,4000,5000,16000,2/3/2012,32.20338637,-101.9763434,Deep,SALE RANCH -L- 5D
66180,115975,31741203,12380,13965,30000,1/31/2018,32.46735558,-102.1482233,Deep,GOLDEN TORNADOES SWD 1
67651,64379,22732542,3962,4060,1000,10/28/1987,32.42643882,-101.641396,Deep,SPALDING. LILLIAN ETAL SWD 2D
70158,102703,13510848,4849,5060,3000,4/11/2011,31.97427987,-102.3713125,Deep,"RATLIFF, S. W., -A- 13J"
70643,98915,38335592,3700,4700,20000,5/30/2008,31.346305,-101.762351,Deep,SHEEPSHEAD 1
71127,113312,31740335,12000,14500,30000,1/4/2016,32.12796904,-102.0182887,Deep,"NAIL RANCH 36"""" 1D"
71910,84727,31732856,4400,12200,9000,4/30/1996,32.3639066,-101.9689763,Deep,"PAT, K. 3"
73031,99895,31735147,11242,12617,10000,1/14/2009,32.47193901,-102.1103753,Deep,"BREEDLOVE, F. D., -B- 47"
73150,99208,31732702,4275,12700,30000,6/2/2008,32.34525529,-102.0034741,Deep,JONES 130 1D
73230,117180,31741386,12000,13369,25000,11/9/2018,32.1472589,-102.0207306,Deep,WATERBURGER 1D
74117,111282,22738313,10050,11300,30000,11/14/2014,32.22062257,-101.5465667,Deep,CROSS ELL SWD 1
78588,113121,13536412,11778,14500,10000,11/12/2015,31.967283,-102.367196,Deep,RATLIFF 'F' 1
78607,115608,22739197,8850,12500,25000,9/11/2017,32.435831,-101.570429,Deep,ELROD-ANTELL 1D
78754,115879,32930927,4531,5523,20000,12/20/2017,31.8415328,-102.0025414,Deep,FIRST UNITED METHODIST CHURCH B 1
78989,115918,22740963,9750,13000,35000,2/20/2018,32.359999,-101.395278,Deep,LONG 350 SWD 1
79239,89523,10538250,3575,3615,2000,1/19/2000,31.01025391,-101.6014847,Deep,"RANCH HAND 55"""" 3"
79626,120087,41535513,5050,7491,24500,1/3/2020,32.62659604,-100.7082065,Deep,MAPACHE GRANDE 144 2D
79924,80978,32932884,4590,5650,15000,5/17/1994,31.83360172,-102.0594314,Deep,MIDLAND 'AH' FEE 3D
81010,119012,32943904,12060,15000,30000,8/12/2019,31.7859639,-102.0737994,Deep,RIPTIDE 29 SWD 1
81296,116306,31741025,13031,13953,30000,5/17/2018,32.263789,-102.192392,Deep,MABEE 6 SWD 1
82149,93294,31731432,4100,4430,700,8/5/2003,32.47179708,-101.9865049,Deep,"ROLLOW A"""" 1D"
83049,116110,38333469,5561,5957,15000,3/8/2018,31.30221899,-101.4622766,Deep,PARISH 6
83099,116274,22739482,10361,11477,50000,5/8/2018,32.317396,-101.632668,Deep,DELPHIN SWD 1
76457,102113,21937129,8100,11630,20000,7/30/2010,33.6023416,-102.4096829,Deep,LEVELLAND UNIT 1208WD
76459,102121,21937132,8100,11700,20000,8/4/2010,33.52944826,-102.4590465,Deep,SOUTHEAST LEVELLAND UNIT 369WD
77110,70434,22732473,3723,4600,10000,7/28/1989,32.43622459,-101.6857203,Deep,"JOHNSON, DC DISPOSAL 202"
77493,112402,32940594,12480,14500,30000,5/4/2015,32.03981507,-102.2500813,Deep,CASSELMAN8 1D
77543,112642,31740201,11000,14000,40000,7/24/2015,32.36428823,-102.0139027,Deep,JONES-HOLTON D 4D
77593,122659,46134345,11246,11853,60000,4/24/2020,31.25288346,-101.8080958,Deep,"UNIVERSITY 21"""" 1"
78646,115691,22739461,10000,11500,25000,10/12/2017,32.37499984,-101.5765364,Deep,BEALL SWD 1
78814,116014,31741024,13200,14318,30000,2/8/2018,32.279007,-102.174397,Deep,MABEE 5 SWD 1
80552,112469,22736895,3200,4100,10000,5/27/2015,32.17506329,-101.5059237,Deep,PATTERSON 2713
81354,116497,22739854,9900,11015,50000,7/17/2018,32.359472,-101.496754,Deep,SNEED 5 1
82742,97519,16531698,11600,12900,45000,4/30/2007,32.76325824,-102.7046892,Deep,"SEMINOLE DEEP UNIT D"""" 3214D"
82991,119288,38938775,3300,6161,30000,10/5/2019,31.815579,-104.030665,Deep,NIGHTHAWK STATE SWD 1
83126,116298,31741387,11000,14500,50000,5/14/2018,32.431667,-101.831667,Deep,HOLCOMB 68 SWD 1
83879,94097,26300427,5100,9000,13000,5/10/2004,33.00498821,-100.8524276,Deep,COGDELL CANYON REEF UNIT 1039WD
84297,81995,22710846,9829,10500,5000,1/13/1995,32.3982628,-101.4683099,Deep,"RYAN, J. B. 4"
85263,116549,10933303,11000,13100,90000,7/30/2018,31.9579255,-104.3226513,Deep,DR B SNOWBIRD 13 SWD 1
86252,82777,11532680,5260,12200,14000,1/24/1994,32.90487595,-102.099488,Deep,WEST WELCH UNIT 1D
86552,113130,31740301,11100,14500,50000,11/13/2015,32.0917392,-101.9407628,Deep,DICKENSON 20 8D
86836,115416,31742648,12066,13180,25000,7/19/2017,32.36255398,-101.9481329,Deep,LONE RANGER SWD 1
87824,99242,31730388,3800,5689,10000,9/12/2008,32.31947737,-101.8594023,Deep,DEWEY 1
87887,110530,49533573,3950,5500,25000,7/23/2014,31.84350199,-103.1116068,Deep,KERMIT SWD 1
68221,110802,22734916,8570,8732,25000,9/8/2014,32.48653208,-101.5858926,Deep,MIDDLETON 38 1
69968,109990,15100308,7000,7500,5000,5/7/2014,32.74441705,-100.6307689,Deep,GORDON A 1R
70947,99289,306772,4800,15200,30000,7/22/2008,32.15673223,-102.2911032,Deep,"DAVID FASKEN O"""" 1"
71981,85131,18930399,5200,8000,15000,8/22/1996,33.834609,-102.014835,Deep,ANTON-IRISH CLEARFORK UNIT 508
73228,109149,30132040,4650,8000,40000,1/14/2014,31.99280254,-103.6087248,Deep,EXCELSIOR 12 SWD 2
73319,117564,31739041,12700,15000,10000,1/6/2019,32.198144,-102.144121,Deep,MABEE SWD 1
73360,117974,3332446,8300,10216,20000,3/18/2019,32.537097,-101.415206,Deep,GUNSIGHT 1D
75000,97528,3331474,9750,10000,10000,5/3/2007,32.61230645,-101.547254,Deep,"JOHNSON, W. D. 11D"
78008,110736,22734579,3104,3230,25000,8/29/2014,32.35945415,-101.5760072,Deep,"RAY, DOIS 1"
88373,104207,13540754,4900,5600,15000,11/2/2011,31.98987217,-102.3543316,Deep,RATLIFF A 1903
88909,119930,10933528,11431,12280,50000,12/16/2019,31.931661,-104.366527,Deep,DR SWD 27 1
89929,67994,22733914,9350,9650,15000,12/12/1986,32.47724414,-101.6492207,Deep,"GILBERT, G. WRIGHT. JR. ESTATE 1"
93987,99215,333438,10350,13198,20000,5/12/2008,32.26950722,-102.2337605,Deep,MABEE 240 1SW
95577,119435,31742746,10500,13000,30000,11/1/2019,32.38391,-101.796079,Deep,POSEIDON SWD 1
96531,118219,10933417,11708,14000,100000,4/18/2019,31.929413,-104.329984,Deep,DR B STRANGELOVE 25 SWD 1
97765,106158,31731616,4100,5050,12000,12/20/2012,32.15625234,-102.004722,Deep,"NAIL, J.H., SEC. 26 1"
100775,22759,41503882,5000,8400,13000,12/18/1969,32.91568901,-100.9206699,Deep,COGDELL CANYON REEF UNIT 606
78360,114956,22739064,9630,11000,25000,2/24/2017,32.27958395,-101.4365479,Deep,PIPELINE SWD 1
78569,115433,38936257,3360,6000,20000,7/26/2017,31.80000703,-103.8212181,Deep,RIVERSIDE 21601 SWD #1 1
78733,110055,31735255,4770,6300,15000,5/19/2014,32.12288062,-102.2096421,Deep,CROSS BAR RANCH 1901SW
80641,112675,17337204,11050,13750,30000,7/31/2015,31.66788212,-101.5693563,Deep,DANIEL -28- SWD 1D
80700,117379,10303614,6150,8461,5000,12/6/2018,31.4282299,-102.5374205,Deep,"LEA, P. J. -C- 2"
83063,119874,31742329,11250,12430,40000,11/25/2019,32.33324981,-101.8218381,Deep,TORMUND SWD 20SD
83172,105752,11533368,4000,12270,20000,9/26/2012,32.56878145,-102.0200906,Deep,BROWN AND ECHOLS 2101
83379,91933,300438,8822,9100,10000,2/19/2002,32.18066684,-102.7577893,Deep,UNIV. -11- SEC. -1- C1
72209,114335,16538439,6000,12630,45000,9/27/2016,32.7629732,-102.8215459,Deep,WEST SEMINOLE SA UNIT 3WD
72350,116192,31741183,3721,4711,20000,4/6/2018,32.2704315,-101.8170441,Deep,WADDELL 12 1D
74383,113829,22734702,3700,4900,25000,5/13/2016,32.4597647,-101.6271202,Deep,IDEN SWD 4A
75226,118973,31742511,11500,14000,50000,7/31/2019,32.26548,-102.017452,Deep,SUNFLOWER SWD 1
76060,103282,13540893,12700,14400,20000,6/8/2011,32.01573,-102.339498,Deep,GARDENDALE 8 SWD 1
76328,67372,22734245,9700,10277,10000,10/4/1988,32.3912777,-101.4838331,Deep,TALBOT 3D
76460,102122,21937131,8100,11700,20000,8/4/2010,33.53241509,-102.4727466,Deep,SOUTHEAST LEVELLAND UNIT 370WD
77089,82597,16534629,8500,8680,20000,4/29/1994,32.85345733,-102.2578879,Deep,AMERICAN WAREHOUSE COMPANY 'A' 1
78082,84968,22734841,3300,6000,1500,7/15/1996,32.40717674,-101.5900664,Deep,STASEY 1
78532,115242,22737690,3450,4650,10000,5/24/2017,32.16045406,-101.5270537,Deep,CONNALLY 2841
78936,110759,32933636,4540,5600,20000,9/30/2014,31.88567326,-102.1488895,Deep,"SCHARBAUER, C.,-B- NCT-1 14"
79629,120108,17338286,10595,12370,60000,1/6/2020,31.70527981,-101.5751581,Deep,BERNICE MATTHIESEN -15- 1D
85310,116637,32942497,11700,15000,40000,8/17/2018,31.97005904,-102.0462119,Deep,BULLDOG SWD 1
85562,82402,11532730,4213,5788,2000,2/17/1995,32.64974412,-102.041124,Deep,HOMER 1
86362,93220,26300448,4500,9000,13000,7/11/2003,32.98056212,-100.8412371,Deep,COGDELL CANYON REEF UNIT 1060W
86521,116911,10933356,13643,14638,70000,10/7/2018,31.88445,-104.230225,Deep,COUNT FLEET 48 SWD 4
86766,117762,10933393,14730,15720,70000,2/10/2019,31.85912,-104.130366,Deep,LEONATUS 11 SWD 2
86850,103413,31733131,5550,6175,15000,6/30/2011,32.48613214,-102.1475189,Deep,MABEE FOUNDATION 1RE
89638,63761,17331920,4776,4982,10000,7/23/1987,31.92968873,-101.6760262,Deep,"POWELL, E.L. 7D"
89658,89207,31733089,4750,5200,1500,9/29/1999,32.14384048,-102.1006951,Deep,GEORGE W. GLASS -24- 1D
79654,115345,31740777,12088,12803,50000,6/22/2017,32.3560349,-101.9643425,Deep,GT HALL D1
80690,117936,22740032,10500,11900,30000,3/11/2019,32.36640238,-101.6819078,Deep,DB HUGHES 1D
80983,118456,22741311,7800,12640,35000,5/22/2019,32.43876637,-101.4216702,Deep,JACK BUCHANAN SR SWD 1
81090,119195,38340821,10300,12600,50000,9/19/2019,31.5241475,-101.5249082,Deep,RICKER 39 SWD 1
81383,116521,31741322,11000,14000,40000,7/24/2018,32.384738,-102.0274035,Deep,JONES-HOLTON D 5D
83039,116047,22739944,10340,12000,50000,2/21/2018,32.25041028,-101.5491986,Deep,GUITAR 5D
83053,119831,22740391,10965,13000,35000,11/20/2019,32.484589,-101.658164,Deep,IDEN 31 SWD 1D
83073,119949,10933597,13887,15887,75000,12/16/2019,31.898013,-104.145537,Deep,NEEDLES 39 SWD 2
83078,116242,13543432,9750,13750,10000,4/25/2018,31.96469964,-102.364797,Deep,RATLIFF RANCH 'A' 5A
85179,116337,31741325,10960,12500,35000,5/29/2018,32.13341205,-101.7384199,Deep,ANNALEA SWD 1
86674,117355,32933681,4490,6100,15000,12/2/2018,31.8646012,-102.1292158,Deep,SCHARBAUER JR 10SW
101175,119441,15100153,6950,7200,20000,11/1/2019,32.816698,-100.591851,Deep,CEDAR BREAKS WD 1WD
103082,109984,50136351,10720,13000,50000,5/6/2014,33.00563266,-102.8328947,Deep,DENVER UNIT 4
103432,81982,31732191,4425,5200,20000,1/11/1995,32.407593,-101.845153,Deep,HOLCOMB 1
104466,101791,21937119,4550,11630,20000,5/26/2010,33.59894514,-102.4329212,Deep,LEVELLAND UNIT 1207WD
104686,116121,22739441,10665,12500,35000,3/14/2018,32.2565792,-101.6901816,Deep,NEPTUNE SWD 1
104869,84370,22734698,3500,6100,20000,2/29/1996,32.42793298,-101.6064756,Deep,NORET-JONES 1D
104985,118204,31742073,11300,13000,50000,4/19/2019,32.2906738,-101.8629441,Deep,CORFU SWD 1
105821,110031,22736614,3300,6620,15000,5/14/2014,32.38249987,-101.6720027,Deep,NICHOLS 17 1
107060,118813,31742092,10950,12396,30000,7/5/2019,32.289557,-101.768801,Deep,TYRION SWD 04SD
107294,116253,22740310,7800,13000,50000,4/30/2018,32.433728,-101.364908,Deep,HULL SWD 1
107660,106281,31735744,5550,6175,20000,1/9/2013,32.47634712,-102.1445529,Deep,PINOTAGE SWD 1
90851,122673,46132064,0,11280,30000,4/28/2020,31.316506,-101.813228,Deep,ARCO UNIVERSITY 1
91085,119945,38938499,15346,16503,90000,12/10/2019,31.854988,-104.013794,Deep,SQUIGGY 58-T2-12 SWD 902
91839,113169,22738653,9350,11900,40000,11/23/2015,32.461466,-101.6429869,Deep,GASKINS 43 1D
91987,124634,32944800,10800,13500,24500,3/17/2021,31.903765,-101.786134,Deep,WTH 7 SWD 2
94025,105121,31737258,11745,12675,10000,5/14/2012,32.47818077,-102.0934694,Deep,"BREEDLOVE, F. D., -B- 49"
94854,114451,10932982,14740,15763,90000,10/24/2016,31.78707537,-104.1291484,Deep,MINE THAT BIRD 38 FEE SWD 9
95733,117758,32943129,13400,14500,30000,2/10/2019,31.99475959,-102.1951802,Deep,DYSON 1D
95888,120848,3332533,7450,12500,20000,2/5/2020,32.5698331,-101.3610064,Deep,MAD DOG SWD 1D
95933,109838,32939312,12310,15000,30000,4/16/2014,32.041412,-102.261877,Deep,M.F. KING SWD 2
95972,118554,10933473,11790,13790,70000,5/7/2019,31.87397,-104.28162,Deep,SIR BARTON 4 SWD 9
86697,117321,13531483,5600,8500,15000,11/28/2018,31.9201389,-102.4921861,Deep,JOHNSON DEEP UNIT 12WD
86749,117513,31741454,12400,14163,40000,12/31/2018,32.36908062,-102.2002879,Deep,UNIVERSITY 7-31B SWD D1
87642,110306,32939612,13250,14500,25000,7/1/2014,32.01138718,-102.219518,Deep,MIDLAND 817 SWD 1
88378,104290,11532155,4000,5800,15000,11/21/2011,32.5414344,-102.1935341,Deep,ESTES FARMS 11 SWD 1D
90800,91287,31730652,4000,4800,12000,8/23/2001,32.10998838,-101.9170399,Deep,"LEWIS, KATHLEEN SWD 7D"
91811,124241,41535539,7160,7555,20000,8/14/2020,32.69313673,-100.6645439,Deep,STRAWBERRY 87 1D
91963,124214,31743781,11500,14000,20000,8/7/2020,32.3064631,-102.0017678,Deep,TOUCAN SWD 1R
92272,116531,31741667,11150,12335,40000,7/25/2018,32.46687642,-101.7826337,Deep,RANCH WATER 24 SWD 1
93265,81347,17332375,3300,6000,5000,8/17/1994,31.95350859,-101.6870204,Deep,"BRUNSON 5"" #2"" 1"
93967,119160,31742189,13000,15000,20000,9/13/2019,32.1387953,-102.1817782,Deep,DIRT DEVIL 1D
108111,113218,32940225,13120,13900,20000,12/8/2015,32.083022,-102.17099,Deep,NORTHWEST MIDLAND SWD 1WD
108112,113259,41532682,5250,6100,10000,12/17/2015,32.54187893,-100.7250731,Deep,THUNDER VALLEY 2 UNIT 1D
108128,101066,22733062,10100,10167,3000,8/12/2009,32.17796738,-101.5775793,Deep,"WALDRON, S. 7W"
108345,109487,30132092,4650,6350,20000,2/24/2014,31.82313007,-103.5550773,Deep,DIMMIT 28 2D
108497,109119,17335792,10400,12500,25000,1/9/2014,31.91152447,-101.487083,Deep,HRW GLASSCOCK SWD 2
109280,116147,32942084,11820,13808,25000,3/19/2018,31.9286419,-101.9883962,Deep,"CASSIDY B"""" 2DD"
109899,115077,38333023,5559,5936,15000,4/4/2017,31.33437693,-101.4530296,Deep,COATES 13
111318,117373,32938725,4590,6350,15000,12/2/2018,31.8761625,-102.179809,Deep,"SCHARBAUER, C. 'A' 3311W"
111338,117544,31741365,11777,13200,50000,12/31/2018,32.3743028,-101.9648944,Deep,PEELER D1
111806,117568,22739689,10871,11380,60000,12/31/2018,32.41634685,-101.6427639,Deep,HULKSTER SWD 1
111954,112158,17333299,3214,4400,10000,3/3/2015,31.75153575,-101.6191229,Deep,"COLE RANCH 41"" SWD"" 4D"
112391,115188,22739079,10513,11510,25000,5/10/2017,32.23143495,-101.5930999,Deep,WALTERS SWD 1
112457,112750,15132739,4316,5977,8000,8/18/2015,32.71959265,-100.5778854,Deep,DALE CAVE 4R
112538,113831,22739185,5350,9600,25000,5/17/2016,32.4607253,-101.6284214,Deep,CHAMPAGNES SWD 1
113408,115541,32942005,12044,14500,50000,8/29/2017,31.8151275,-102.0012153,Deep,BRYANT RANCH 23 SWD 1
115131,114780,22738945,10380,12000,20000,1/3/2017,32.407044,-101.599098,Deep,KNOTT SWD 2
115132,114783,22738833,8900,12500,25000,1/4/2017,32.3879203,-101.5309781,Deep,GARRETT-SNELL UNIT B 36-25 1D
115866,108021,31737576,4750,6100,10000,8/27/2013,32.09217645,-102.1318683,Deep,SOUTH CURTIS RANCH 404
116568,116798,31741891,10500,13000,20000,9/25/2018,32.397183,-101.717739,Deep,7H SWD 1
116685,116795,30134147,4173,6250,20000,9/23/2018,31.76558889,-103.6589444,Deep,HOPPER 21801 SWD 1
96910,115127,22738993,10340,12000,30000,4/24/2017,32.27939706,-101.5589035,Deep,GUITAR 12 SWD 1D
97819,115022,47530673,6500,8280,30000,3/20/2017,31.4245144,-103.2913283,Deep,ARCO STATE 1028D
98378,115039,38935708,3500,6000,15000,3/22/2017,31.75974248,-103.8495226,Deep,BLACKTOP 21601 SWD 1W
98923,122870,31743701,11500,14000,40000,5/18/2020,32.17910509,-101.8995269,Deep,PALO VERDE SWD 1
99423,107431,336555,11340,13330,15000,5/1/2013,32.21914494,-102.2531598,Deep,MABEE 38 SWD 1
101106,113646,10932340,2700,5500,20000,3/24/2016,31.658908,-104.120206,Deep,RUSTLER HILLS STATE 111-14 SWD 1
102308,119416,31742449,10600,12120,50000,10/21/2019,32.45681481,-101.7434365,Deep,TRITON SWD 1
102531,115480,22739038,10118,10470,30000,8/11/2017,32.20152147,-101.4748396,Deep,FLETCH 1
102910,115597,22739198,8850,12500,20000,9/11/2017,32.41399,-101.567019,Deep,SHROYER 2D
103546,105895,32931586,4940,6120,20000,10/31/2012,31.8884403,-102.1410942,Deep,"SCHARBAUER 35B"""" 1"
104614,115807,32942752,13500,15000,30000,11/28/2017,31.97406308,-102.2166687,Deep,RATTLER 1D
95305,84728,31731433,4350,12200,6500,4/30/1996,32.35882222,-101.9766067,Deep,POE 1
96509,118124,10933604,14864,15877,45000,4/11/2019,31.998333,-104.061667,Deep,BOWSER SWD 1
