Distance,d,Years Before Earthquake,Diffusivity
34.698249323759576,0.1,-30.380761523046093,Minimum
34.65244303405484,0.1,-30.30060120240481,Minimum
34.6065761138407,0.1,-30.22044088176353,Minimum
34.5606483217211,0.1,-30.140280561122246,Minimum
34.51465941469389,0.1,-30.060120240480963,Minimum
34.468609148135805,0.1,-29.97995991983968,Minimum
34.42249727578731,0.1,-29.899799599198396,Minimum
34.37632354973723,0.1,-29.819639278557112,Minimum
34.33008772040719,0.1,-29.739478957915832,Minimum
34.28378953653587,0.1,-29.659318637274552,Minimum
34.23742874516309,0.1,-29.57915831663327,Minimum
34.1910050916137,0.1,-29.498997995991985,Minimum
34.144518319481215,0.1,-29.4188376753507,Minimum
34.0979681706113,0.1,-29.338677354709418,Minimum
34.05135438508511,0.1,-29.258517034068134,Minimum
34.004676701202285,0.1,-29.178356713426854,Minimum
33.9579348554638,0.1,-29.09819639278557,Minimum
33.91112858255468,0.1,-29.01803607214429,Minimum
33.86425761532638,0.1,-28.937875751503007,Minimum
33.81732168477901,0.1,-28.857715430861724,Minimum
33.77032052004331,0.1,-28.77755511022044,Minimum
33.72325384836244,0.1,-28.697394789579157,Minimum
33.67612139507348,0.1,-28.617234468937877,Minimum
33.628922883588764,0.1,-28.537074148296593,Minimum
33.5816580353769,0.1,-28.456913827655313,Minimum
33.53432656994364,0.1,-28.37675350701403,Minimum
33.486928204812415,0.1,-28.296593186372746,Minimum
33.43946265550472,0.1,-28.216432865731463,Minimum
33.39192963552015,0.1,-28.13627254509018,Minimum
33.34432885631623,0.1,-28.056112224448896,Minimum
33.29666002728797,0.1,-27.975951903807616,Minimum
33.24892285574723,0.1,-27.895791583166336,Minimum
33.201117046901665,0.1,-27.815631262525052,Minimum
33.15324230383355,0.1,-27.73547094188377,Minimum
33.105298327478216,0.1,-27.655310621242485,Minimum
33.05728481660231,0.1,-27.5751503006012,Minimum
33.00920146778167,0.1,-27.494989979959918,Minimum
32.96104797537896,0.1,-27.414829659318638,Minimum
32.91282403152101,0.1,-27.334669338677354,Minimum
32.86452932607587,0.1,-27.254509018036075,Minimum
32.8161635466295,0.1,-27.17434869739479,Minimum
32.76772637846222,0.1,-27.094188376753507,Minimum
32.719217504524806,0.1,-27.014028056112224,Minimum
32.670636605414295,0.1,-26.93386773547094,Minimum
32.621983359349414,0.1,-26.85370741482966,Minimum
32.57325744214576,0.1,-26.773547094188377,Minimum
32.524458527190546,0.1,-26.693386773547097,Minimum
32.47558628541711,0.1,-26.613226452905813,Minimum
32.42664038527898,0.1,-26.53306613226453,Minimum
32.377620492723665,0.1,-26.452905811623246,Minimum
32.32852627116604,0.1,-26.372745490981963,Minimum
32.2793573814614,0.1,-26.292585170340683,Minimum
32.2301134818781,0.1,-26.2124248496994,Minimum
32.180794228069864,0.1,-26.13226452905812,Minimum
32.13139927304768,0.1,-26.052104208416836,Minimum
32.081928267151305,0.1,-25.971943887775552,Minimum
32.03238085802047,0.1,-25.89178356713427,Minimum
31.982756690565463,0.1,-25.811623246492985,Minimum
31.933055406937548,0.1,-25.7314629258517,Minimum
31.883276646498828,0.1,-25.65130260521042,Minimum
31.833420045791677,0.1,-25.571142284569138,Minimum
31.78348523850783,0.1,-25.490981963927858,Minimum
31.733471855456962,0.1,-25.410821643286575,Minimum
31.68337952453483,0.1,-25.33066132264529,Minimum
31.633207870690995,0.1,-25.250501002004007,Minimum
31.582956515896043,0.1,-25.170340681362724,Minimum
31.53262507910837,0.1,-25.090180360721444,Minimum
31.482213176240457,0.1,-25.01002004008016,Minimum
31.431720420124666,0.1,-24.92985971943888,Minimum
31.38114642047858,0.1,-24.849699398797597,Minimum
31.330490783869788,0.1,-24.769539078156313,Minimum
31.27975311368015,0.1,-24.68937875751503,Minimum
31.22893301006964,0.1,-24.609218436873746,Minimum
31.17803006993949,0.1,-24.529058116232466,Minimum
31.12704388689496,0.1,-24.448897795591183,Minimum
31.075974051207453,0.1,-24.368737474949903,Minimum
31.02482014977609,0.1,-24.28857715430862,Minimum
30.973581766088763,0.1,-24.208416833667336,Minimum
30.92225848018252,0.1,-24.128256513026052,Minimum
30.87084986860345,0.1,-24.04809619238477,Minimum
30.819355504365884,0.1,-23.96793587174349,Minimum
30.76777495691103,0.1,-23.887775551102205,Minimum
30.716107792064985,0.1,-23.80761523046092,Minimum
