InjectionWellId,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
119981,119482,10933517.0,3200.0,6150.0,30000.0,2019-11-05,31.62678541,-104.06364573,Deep,RINGTAIL SWD 1
120013,114509,10932828.0,3300.0,5760.0,30000.0,2016-11-09,31.71469523,-104.08693476,Deep,HSS STATE 45-18X7 1H
120058,117700,22739671.0,10500.0,11500.0,80000.0,2019-01-26,32.3629884,-101.6146309,Deep,ANDRE THE GIANT SWD 1
120138,117943,31741765.0,11129.0,12480.0,25000.0,2019-03-12,32.2646278,-101.7916109,Deep,DAGGER LAKE SWD 08SD
120265,124638,15133086.0,6739.0,7180.0,20000.0,2021-04-09,32.79955875,-100.57811258,Deep,DON GRUBEN 58 SWD 1
120815,122084,22740609.0,10440.0,11955.0,38880.0,2020-03-31,32.36737127,-101.63618125,Deep,COTTONMOUTH 1D
121394,118961,31742165.0,12000.0,14500.0,30000.0,2019-07-26,32.48620351,-102.18803773,Deep,BIG GULP 1D
121401,115201,22739085.0,10900.0,13000.0,30000.0,2017-05-16,32.5111514,-101.6479508,Deep,MASSINGILL 20 SWD 1D
122603,124500,22700000.0,9570.0,10930.0,30000.0,2020-12-08,32.4409191,-101.3922651,Deep,IDEN 24 SWD 1
123675,124949,22741186.0,10240.0,11350.0,10000.0,2021-11-04,32.24994274,-101.60810965,Deep,AVAMPATO 1D
123818,124850,38900000.0,3050.0,6400.0,20000.0,2021-09-01,31.73654,-103.944768,Deep,CAUSEWAY SWD 1
